05#13#10.0#2018-12-08#e ok
06#13#10.0#2018-12-12#e ok
03#12#10.0#2018-12-08#e ok
01#13#10.0#2018-12-24#de craciun
01#4#9#2018-12-24#e ok ba
05#1#10#2018-12-24#e ok ba
05#2#10#2018-12-24#e ok ba
05#3#10#2018-12-24#e ok ba
05#4#10#2018-12-24#e ok ba
05#5#10#2018-12-24#e ok ba
05#6#10#2018-12-24#e ok ba
05#7#10#2018-12-24#e ok ba
05#8#10#2018-12-24#e ok ba
01#6#6#2018-12-24#e ok ba
01#1#7.5#2018-12-24#e ok ba
01#2#10#2018-12-24#e ok ba
01#3#10#2018-12-24#e ok ba
01#5#8#2018-12-24#e ok ba
01#7#5#2018-12-24#e ok ba
02#1#7.5#2018-12-24#e ok ba
01#8#8#2018-12-24#e ok ba
02#2#10#2018-12-24#e ok ba
02#3#10#2018-12-24#e ok ba
02#4#9#2018-12-24#e ok ba
02#5#8#2018-12-24#e ok ba
02#6#6#2018-12-24#e ok ba
02#7#5#2018-12-24#e ok ba
02#8#8#2018-12-24#e ok ba
03#1#7.5#2018-12-24#e ok ba
03#2#6#2018-12-24#e ok ba
03#3#10#2018-12-24#e ok ba
03#4#4#2018-12-24#e ok ba
03#5#5#2018-12-24#e ok ba
03#6#4#2018-12-24#e ok ba
03#7#4#2018-12-24#e ok ba
03#8#4#2018-12-24#e ok ba
04#1#7.5#2018-12-24#e ok ba
04#2#8#2018-12-24#e ok ba
04#3#10#2018-12-24#e ok ba
04#4#5#2018-12-24#e ok ba
04#5#6#2018-12-24#e ok ba
04#6#5#2018-12-24#e ok ba
04#7#3#2018-12-24#e ok ba
04#8#8#2018-12-24#e ok ba
